filename,cluster
PlanActionDD_MSSS_2016,2
PlanDD_Rio tinto2019,2
Rapport_CREDD_2019,2
Plan_QuébecEnvironnement_2020,2
SADR_MRCDDR_2015,0
Rapport_AllianceVerte_2019,2
Rapport_CIDAL_2018,1
PlanAction_JardinMistouk_2017,0
Mémoire_SommetÉcoRégionalSLSJ_2015,2
ACCUEILLIR_LA_PETITE_ENFANCE,2
Perspective_IMT_2011,2
Rapport_SADCLSJO_2019,2
Schéma_MRCDomaineduRoy_2015,1
Rapportd_activités_Alliage02_2019,0
Rapport_ForumPanetere_2018,1
GuideDéveloppementDurable_BasseRésolution-2013,2
Profil_MAPAQ_2020,2
Plan_TIRSHV_2019,1
Objectif_VivreEnVille_2020,2
Stratégie_QuébecConditionFéminine_2017,2
Enquête_AmbassadeBoréale_2020,1
PlanAnnexe_QuébecEnvironnement_2020,2
Priorités_MRCMaria_2020,2
LE PROJET – Chantier touristique Péribonka,1
Rapport_Ville_de_Saguenay_cocréation_Hub_Version finale,1
Rapport_MigrAction_2015,2
Synthèse_ForumSainesHabitudesDeVie_2018,1
Politique_Niobec_2019,2
Stratégie_QuébecÉducation_2018,2
Plan_Québecautochtones_2017,2
Projet_Borée_2020,1
PlanDév_MRCDDR_2018,1
Charte_TourismeAventure_2020,0
Rapport_cocréation_MRC_LSJE_Hub_Version finale_modifiée.,1
PGMR_Saguenay_MRC-Fjord_2016,2
Rapport_chambreCommerceSLSJ_2020,2
RapportAnnuel_SADCLSJE_2019,0
PlanAction_VilleSaguenay_2019,2
Revue_BlackburnEtAl_2017,2
Rapport_RMRLSJ_2019,2
Rapport_SociétéHistMariaChapdelaine_2018,2
Rapport d_activité_PromotionSaguenay_2018,2
Planification_QuébecMAPAQ_2019,2
PAFIT_QuébecForet_2018,2
Rapport_QuébecEnvironnement_2019,0
Plan_Saguenay_2015,2
Rapport_CultureSLSJ_2019,1
Plan_QuébecSanté_2018,2
Plan_QuébecTravail_2017,2
Rapport_ESSOR02_2019,0
PlanAction_CREDD_2021,2
Rapport_MicroEntreprendre_2018,0
Rapport_MRC_Maria-Chapdelaine_cocréation_Hub_Version finale,1
Politique_QuébecSanté_2017,2
Politique_CultureSLSJ_2019,0
Rapport_Ecobes_2007,2
Bulletin_SPBQ_2020,0
Politique_QuébecAgriculture_2018,2
ApprocheDD_RioTinto_2020,2
Rapport_Femmessor_2019,2
Rapport_régional_Hub_V15juin2020,1
Charte borée,1
Planfication_UQAC_2019pdf,2
Rapport_SEDI_2019,2
Plan_CégepJonquière_2017,2
PlanStratégique_CégepStFélicien,2
Plan_ContactNature_2020,0
Pland_action_ServicesQuébec_2018,2
Politique_QuébecTransports_2018,2
Rapport_SADCHS_2018,0
Politique_MRCDDR_2019,1
Politique_ContactNature_2020,0
PDAA_MRCMAria_2018,2
PlanTravail_Alliance02_2019,2
Rapport_DDR_cocréation_HUB_version_finale,1
Orientations_GroupeCODERR_2020,2
Stratégie_MRCMCDL_2020,1
ApprocheDD2_Résolu_2020,2
Bilan_BanquesAlimentairesQuébec_2019,2
Revue_DesjardinsChicoutimi_2019,2
Priorités_FRR_DDR_2020,1
Rapport_Hub_Cocréation_Mashteuiatsh,1
Plan_QuébecZen_2020,2
PlanStratégique_CégepChicoutimi_2017,2
Rapport de consultation - Relance économique SLSJ_VF,1
Buletin_SPBQ_Oct2020,0
Rapport_SADCDuFjord_2019,2
Projet_FaireLaVille_2020,1
PolitiqueDD_OrchestreSymphoniqueSLSJ_2017,0
Développement durable,2
Guide_SommetÉconomiqueRégional_2015,2
Guide_Saguenay_2010,2
Stratégie_QuébecAffairesMunicipales_2020,1
Présentation du projet Autonomie alimentaire,1
RapportDD_Résolu_2017,2
Rapport_SaguenayVilleEtudiante_2019,2
PolitiqueDD_ZooStFélicien_2018,2
RapportAnnuel_JardinsMistouk_2016,0
Schéma_MRCLSJE_2018,1
Politique_QuébecÉducation_2017,2
